,x,y,label,waving,,,,,,,,,,,,
342,0.28444844,0.28444844,5,1,,,,,,,,,,,,
343,0.29551953,0.29551953,6,1,,,,,,,,,,,,
344,0.4022784,0.4022784,7,1,,,,,,,,,,,,
345,0.3919822,0.3919822,8,1,,,,,,,,,,,,
346,0.51671505,0.51671505,9,1,,,,,,,,,,,,
347,0.30027875,0.30027875,10,1,,,,,,,,,,,,
348,0.28444844,0.28444844,5,1,,,,,,,,,,,,
349,0.29551953,0.29551953,6,1,,,,,,,,,,,,
350,0.4022784,0.4022784,7,1,,,,,,,,,,,,
351,0.3919822,0.3919822,8,1,,,,,,,,,,,,
352,0.51671505,0.51671505,9,1,,,,,,,,,,,,
353,0.30027875,0.30027875,10,1,,,,,,,,,,,,
354,0.28444844,0.28444844,5,1,,,,,,,,,,,,
355,0.29551953,0.29551953,6,1,,,,,,,,,,,,
356,0.4022784,0.4022784,7,1,,,,,,,,,,,,
357,0.3919822,0.3919822,8,1,,,,,,,,,,,,
358,0.51671505,0.51671505,9,1,,,,,,,,,,,,
359,0.30027875,0.30027875,10,1,,,,,,,,,,,,
360,0.28444844,0.28444844,5,1,,,,,,,,,,,,
361,0.29551953,0.29551953,6,1,,,,,,,,,,,,
362,0.4022784,0.4022784,7,1,,,,,,,,,,,,
363,0.3919822,0.3919822,8,1,,,,,,,,,,,,
364,0.51671505,0.51671505,9,1,,,,,,,,,,,,
365,0.30027875,0.30027875,10,1,,,,,,,,,,,,
